Алгоритм,Тип данных,Размер,Время (сек)
bubble_sort,random,100,0.000245
bubble_sort,random,1000,0.025531
bubble_sort,random,5000,0.665643
bubble_sort,random,10000,2.728968
bubble_sort,sorted,100,0.000004
bubble_sort,sorted,1000,0.000035
bubble_sort,sorted,5000,0.000162
bubble_sort,sorted,10000,0.000649
bubble_sort,reversed,100,0.000305
bubble_sort,reversed,1000,0.032709
bubble_sort,reversed,5000,0.856020
bubble_sort,reversed,10000,3.436102
bubble_sort,almost_sorted,100,0.000129
bubble_sort,almost_sorted,1000,0.014282
bubble_sort,almost_sorted,5000,0.415190
bubble_sort,almost_sorted,10000,1.749091
selection_sort,random,100,0.000126
selection_sort,random,1000,0.010303
selection_sort,random,5000,0.253194
selection_sort,random,10000,1.014308
selection_sort,sorted,100,0.000097
selection_sort,sorted,1000,0.010135
selection_sort,sorted,5000,0.251206
selection_sort,sorted,10000,1.010870
selection_sort,reversed,100,0.000112
selection_sort,reversed,1000,0.011441
selection_sort,reversed,5000,0.289571
selection_sort,reversed,10000,1.185380
selection_sort,almost_sorted,100,0.000094
selection_sort,almost_sorted,1000,0.010154
selection_sort,almost_sorted,5000,0.252538
selection_sort,almost_sorted,10000,1.003682
insertion_sort,random,100,0.000103
insertion_sort,random,1000,0.009904
insertion_sort,random,5000,0.248641
insertion_sort,random,10000,1.029946
insertion_sort,sorted,100,0.000006
insertion_sort,sorted,1000,0.000054
insertion_sort,sorted,5000,0.000279
insertion_sort,sorted,10000,0.000619
insertion_sort,reversed,100,0.000207
insertion_sort,reversed,1000,0.019148
insertion_sort,reversed,5000,0.502079
insertion_sort,reversed,10000,2.023145
insertion_sort,almost_sorted,100,0.000018
insertion_sort,almost_sorted,1000,0.001340
insertion_sort,almost_sorted,5000,0.033776
insertion_sort,almost_sorted,10000,0.130440
merge_sort,random,100,0.000074
merge_sort,random,1000,0.000948
merge_sort,random,5000,0.005707
merge_sort,random,10000,0.012256
merge_sort,sorted,100,0.000056
merge_sort,sorted,1000,0.000657
merge_sort,sorted,5000,0.004053
merge_sort,sorted,10000,0.008161
merge_sort,reversed,100,0.000060
merge_sort,reversed,1000,0.000680
merge_sort,reversed,5000,0.004067
merge_sort,reversed,10000,0.008502
merge_sort,almost_sorted,100,0.000064
merge_sort,almost_sorted,1000,0.000873
merge_sort,almost_sorted,5000,0.005155
merge_sort,almost_sorted,10000,0.010989
quick_sort,random,100,0.000086
quick_sort,random,1000,0.000971
quick_sort,random,5000,0.005541
quick_sort,random,10000,0.011112
quick_sort,sorted,100,0.000062
quick_sort,sorted,1000,0.000621
quick_sort,sorted,5000,0.003549
quick_sort,sorted,10000,0.007280
quick_sort,reversed,100,0.000062
quick_sort,reversed,1000,0.000628
quick_sort,reversed,5000,0.003906
quick_sort,reversed,10000,0.007421
quick_sort,almost_sorted,100,0.000066
quick_sort,almost_sorted,1000,0.000739
quick_sort,almost_sorted,5000,0.004060
quick_sort,almost_sorted,10000,0.007756
